2022-11-04 20:17:15,552 |  IcnHost |    INFO | Record refprice at 15:58:00 (OXY,0,0.00)
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Lambda                 0.5
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Record refprice at 15:55:00 (OXY,0,0.00)
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Record refprice at 15:50:00 (JPM,0,0.00)
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Record refprice at 15:58:00 (BAC,0,0.00)
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Cost Linear         0.0003
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Record refprice at 15:55:00 (BAC,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:50:00 (JNJ,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:58:00 (JPM,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Cost Quadratic           0
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:55:00 (JPM,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:50:00 (V,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:58:00 (JNJ,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Lower Bound          -0.05
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:55:00 (JNJ,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:50:00 (BRK.B,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:58:00 (V,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Upper Bound           0.05
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:55:00 (V,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:50:00 (HD,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:58:00 (BRK.B,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | --------------------------
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:55:00 (BRK.B,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:50:00 (MRK,0,0.00)
2022-11-04 20:17:15,553 |  IcnHost |    INFO | Record refprice at 15:58:00 (HD,0,0.00)
2022-11-04 20:17:15,554 |  IcnHost |    INFO | Record refprice at 15:55:00 (HD,0,0.00)
2022-11-04 20:17:15,554 |  IcnHost |    INFO | Record refprice at 15:50:00 (BA,0,0.00)
2022-11-04 20:17:15,554 |  IcnHost |    INFO | Record refprice at 15:58:00 (MRK,0,0.00)
2022-11-04 20:17:15,554 |  IcnHost |    INFO | Record refprice at 15:55:00 (MRK,0,0.00)
2022-11-04 20:17:15,554 |  IcnHost |    INFO | Record refprice at 15:50:00 (PG,0,0.00)
2022-11-04 20:17:15,554 |  IcnHost |   ERROR | Failed to send MOC. Broken pipe.
2022-11-04 20:17:15,554 |  IcnHost |    INFO | Record refprice at 15:58:00 (BA,0,0.00)
2022-11-04 20:17:15,554 |  IcnHost |    INFO | Record refprice at 15:55:00 (BA,0,0.00)
2022-11-04 20:17:15,554 |  IcnHost |    INFO | MOC Scheduled at 20221104 15:58:55.000000.
2022-11-04 20:17:15,554 |  IcnHost |    INFO | Record refprice at 15:50:00 (CRM,0,0.00)
